"거래금액","시군구","도로명주소","지번주소","아파트","거래유형","건축년도","전용면적","층","월","일","경도","위도","학교","학원","병원","술집","공공기관","문화시설","카페","역최단거리","가장 가까운 역","세대수","최고층","세대당주차대수","난방방식","현관구조","방개수","욕실개수","시군구대덕구","시군구동구","시군구서구","시군구유성구","시군구중구","거래유형중개거래","거래유형직거래","난방방식개별난방","난방방식중앙난방","난방방식지역난방","현관구조계단식","현관구조복도식","현관구조복합식"
43000,"대덕구","대덕구 대덕대로 1555","대전시 대덕구 석봉동 770","금강엑슬루타워","직거래",2012,118.307,30,9,4,"127.420343092106","36.4514649456114",5,61,41,40,4,0,63,11257,"갈마역",2312,50,1.61,"지역난방","계단식",3,2,1,0,0,0,0,0,1,0,0,1,1,0,0
34500,"대덕구","대덕구 대덕대로1585번길 44","대전시 대덕구 석봉동 787","금강센트럴파크서희스타힐스","중개거래",2020,77.99,10,9,4,"127.42533095965","36.4537958751814",5,70,36,45,2,0,70,11527,"대전복합터미널",835,33,1.2,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
33500,"대덕구","대덕구 대덕대로 1555","대전시 대덕구 석봉동 770","금강엑슬루타워","중개거래",2012,84.588,23,9,6,"127.420343092106","36.4514649456114",5,61,41,40,4,0,63,11257,"갈마역",2312,50,1.61,"지역난방","계단식",3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
41000,"대덕구","대덕구 대덕대로 1555","대전시 대덕구 석봉동 770","금강엑슬루타워","중개거래",2012,117.388,10,9,6,"127.420343092106","36.4514649456114",5,61,41,40,4,0,63,11257,"갈마역",2312,50,1.61,"지역난방","계단식",3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
46000,"대덕구","대덕구 대덕대로 1555","대전시 대덕구 석봉동 770","금강엑슬루타워","중개거래",2012,117.388,36,9,6,"127.420343092106","36.4514649456114",5,61,41,40,4,0,63,11257,"갈마역",2312,50,1.61,"지역난방","계단식",3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
39600,"대덕구","대덕구 대덕대로1585번길 44","대전시 대덕구 석봉동 787","금강센트럴파크서희스타힐스","중개거래",2020,84.9918,12,9,7,"127.42533095965","36.4537958751814",5,70,36,45,2,0,70,11527,"대전복합터미널",835,33,1.2,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
29200,"대덕구","대덕구 대덕대로 1587","대전시 대덕구 석봉동 771","금강로하스엘크루","중개거래",2017,59.9486,2,9,7,"127.422819735633","36.4529352696112",4,58,39,42,2,0,66,11455,"대전복합터미널",765,25,1.18,"지역난방","계단식",3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
31500,"대덕구","대덕구 대덕대로 1555","대전시 대덕구 석봉동 770","금강엑슬루타워","중개거래",2012,84.588,6,9,8,"127.420343092106","36.4514649456114",5,61,41,40,4,0,63,11257,"갈마역",2312,50,1.61,"지역난방","계단식",3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
12750,"대덕구","대덕구 석봉로58번안길 82","대전시 대덕구 석봉동 313-1","한밭","중개거래",1995,59.94,3,9,9,"127.424314528424","36.4467545060472",6,61,42,53,3,1,85,10759,"대전복합터미널",302,17,0.58,"개별난방","복도식",3,1,1,0,0,0,0,1,0,1,0,0,0,1,0
31500,"대덕구","대덕구 대덕대로 1555","대전시 대덕구 석봉동 770","금강엑슬루타워","중개거래",2012,84.956,2,9,9,"127.420343092106","36.4514649456114",5,61,41,40,4,0,63,11257,"갈마역",2312,50,1.61,"지역난방","계단식",3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
30000,"대덕구","대덕구 대덕대로 1555","대전시 대덕구 석봉동 770","금강엑슬루타워","중개거래",2012,64.169,27,9,9,"127.420343092106","36.4514649456114",5,61,41,40,4,0,63,11257,"갈마역",2312,50,1.61,"지역난방","계단식",3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
33500,"대덕구","대덕구 대덕대로 1555","대전시 대덕구 석봉동 770","금강엑슬루타워","중개거래",2012,84.588,9,9,12,"127.420343092106","36.4514649456114",5,61,41,40,4,0,63,11257,"갈마역",2312,50,1.61,"지역난방","계단식",3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
32500,"대덕구","대덕구 대덕대로1585번길 44","대전시 대덕구 석봉동 787","금강센트럴파크서희스타힐스","중개거래",2020,77.99,22,9,13,"127.42533095965","36.4537958751814",5,70,36,45,2,0,70,11527,"대전복합터미널",835,33,1.2,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
12600,"대덕구","대덕구 석봉로58번안길 82","대전시 대덕구 석봉동 313-1","한밭","중개거래",1995,59.94,12,9,15,"127.424314528424","36.4467545060472",6,61,42,53,3,1,85,10759,"대전복합터미널",302,17,0.58,"개별난방","복도식",3,1,1,0,0,0,0,1,0,1,0,0,0,1,0
32000,"대덕구","대덕구 대덕대로1585번길 44","대전시 대덕구 석봉동 787","금강센트럴파크서희스타힐스","중개거래",2020,59.9983,21,9,15,"127.42533095965","36.4537958751814",5,70,36,45,2,0,70,11527,"대전복합터미널",835,33,1.2,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
